a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;PackingEff;Q_total;BOR
155.44;155.44;466.32;1.968;0.8;0.95;1;1;3;60449600;200.3179932;0.6512336211;0.6742122178;3.188462562
155.51;155.51;466.53;1.969;0.85;0.8;1;1;3;60449600;533.6345825;0.6503534966;0.6837273128;3.23346104
156.18;156.18;468.54;1.977;0.8;1;1;1;3;60449600;71.2780838;0.6420240371;0.6735056183;3.185120934
156.22;156.22;468.67;1.978;0.9;0.7;1;1;3;60449600;666.9745483;0.6415126868;0.6921805669;3.273437896
156.33;156.33;468.98;1.979;0.85;0.85;1;1;3;60449600;420.1524048;0.6401903636;0.6831287053;3.230630125
156.83;156.83;470.48;1.985;0.95;0.6;1;1;3;60449600;685.8859863;0.6340897967;0.700501935;3.31279104
157.11;157.11;471.33;1.989;0.9;0.75;1;1;3;60449600;572.7352295;0.6306880558;0.6917651304;3.271473227
157.13;157.13;471.39;1.989;0.85;0.9;1;1;3;60449600;303.8108826;0.6304496022;0.6825351643;3.227823171
157.15;261.91;261.91;2.109;0.8;0.8;3;5;5;60449600;422.2973022;0.6806582244;0.6002344922;2.8386095
157.79;157.79;473.37;1.997;0.95;0.65;1;1;3;60449600;606.7897949;0.6225747873;0.7002321825;3.311515335
157.93;157.93;473.78;1.999;0.85;0.95;1;1;3;60449600;186.2565918;0.6209315566;0.6820664296;3.225606445
157.99;157.99;473.96;2;0.9;0.8;1;1;3;60449600;476.4250183;0.6202222066;0.6914185881;3.26983437
158.71;158.71;476.14;2.009;0.85;1;1;1;3;60449600;70.85572815;0.6117947552;0.6816261347;3.223524217
158.74;158.74;476.22;2.01;0.95;0.7;1;1;3;60449600;528.4180298;0.611455231;0.7000600313;3.310701203
158.85;158.85;476.56;2.011;0.9;0.85;1;1;3;60449600;378.3877563;0.610176585;0.6910900302;3.268280565
159.38;159.38;478.13;2.018;1;0.6;1;1;3;60449600;612.17;0.6041322538;0.7085247971;3.3507325
159.68;159.68;479.04;2.021;0.95;0.75;1;1;3;60449600;450.7648926;0.6007280116;0.6999577391;3.310217446
159.71;159.71;479.12;2.022;0.9;0.9;1;1;3;60449600;276.6261902;0.600396651;0.6908561982;3.267174734
160.39;160.39;481.18;2.03;1;0.65;1;1;3;60449600;541.1870117;0.5927731431;0.7085585871;3.350892298
160.55;160.55;481.66;2.032;0.9;0.95;1;1;3;60449600;172.7983398;0.5910029063;0.6906514315;3.266206358
160.61;160.61;481.82;2.033;0.95;0.8;1;1;3;60449600;372.699585;0.5903631666;0.6999164233;3.310022057
161.39;161.39;484.16;2.043;0.9;1;1;1;3;60449600;70.26383972;0.5818436577;0.6905568055;3.265758856
161.4;161.4;484.19;2.043;1;0.7;1;1;3;60449600;487.3496399;0.5817365669;0.7087352095;3.351727575
161.52;161.52;484.56;2.045;0.95;0.85;1;1;3;60449600;294.8729248;0.5804250151;0.6998798281;3.309848992
162.39;162.39;487.16;2.056;1;0.75;1;1;3;60449600;428.918396;0.571157868;0.7089341974;3.352668622
162.43;162.43;487.28;2.056;0.95;0.9;1;1;3;60449600;216.388916;0.5707401143;0.699957914;3.310218274
163.32;163.32;489.96;2.067;0.95;0.95;1;1;3;60449600;140.4755707;0.5614508842;0.7000449186;3.310629733
163.36;163.36;490.09;2.068;1;0.8;1;1;3;60449600;365.96;0.5610232466;0.7091375247;3.353630191
164.2;164.2;492.61;2.079;0.95;1;1;1;3;60449600;90.81336212;0.5524543316;0.7002111386;3.311415815
164.33;164.33;492.99;2.08;1;0.85;1;1;3;60449600;298.4595032;0.551160383;0.7094484378;3.355100551
165.21;165.21;275.35;1.876;0.4;0.4;3;3;5;60449600;2547.8;0.9763136499;0.6151823016;2.909300196
