Element,IntegrationPoint,X,Y,S11,S22,S33,S12
739,1,34.398273,98.9123,4.3473325,0.069102824,4.323406,-0.68489605
740,1,33.907234,98.9884,4.3519387,0.066026084,4.3287106,-0.67531556
741,1,33.416023,99.063385,4.3564935,0.06298308,4.333937,-0.66571105
742,1,32.92464,99.13724,4.36097,0.060003646,4.3390875,-0.6561062
743,1,32.43309,99.20997,4.3653793,0.05704699,4.344151,-0.6464894
744,1,31.941378,99.28158,4.3697395,0.054146554,4.3491454,-0.63684666
745,1,31.449501,99.352066,4.3739953,0.051301137,4.354052,-0.62721014
746,1,30.957466,99.42143,4.378201,0.04849517,4.358884,-0.6175477
747,1,30.465273,99.48968,4.3823543,0.04572424,4.363639,-0.607879
748,1,29.972929,99.55681,4.3864155,0.043019913,4.368314,-0.59820604
749,1,29.480433,99.62282,4.390399,0.040357184,4.372906,-0.58852535
750,1,28.987785,99.68771,4.3943563,0.037716523,4.377426,-0.5788106
751,1,28.494993,99.751495,4.3982058,0.035150982,4.381864,-0.5691157
752,1,28.00206,99.814156,4.402003,0.032603454,4.38622,-0.55939454
753,1,27.508986,99.87571,4.4057384,0.030131336,4.39051,-0.5496619
754,1,27.015772,99.93614,4.4093723,0.02768671,4.394705,-0.53993213
755,1,26.522427,99.99546,4.4129877,0.025284965,4.398837,-0.5301689
756,1,26.028946,100.05367,4.4165006,0.022937106,4.402883,-0.5204321
757,1,25.535336,100.11077,4.419949,0.020625742,4.406849,-0.5106555
758,1,25.041601,100.16676,4.4233522,0.018369319,4.4107485,-0.5008901
759,1,24.547739,100.22164,4.4266667,0.016153859,4.4145617,-0.49111232
760,1,24.053755,100.27541,4.4299097,0.013992047,4.4182987,-0.48130754
761,1,23.559652,100.32807,4.4331093,0.011859792,4.421962,-0.47151735
762,1,23.065434,100.37963,4.4362307,0.009782558,4.4255466,-0.46171498
763,1,22.571098,100.43008,4.439255,0.0077538793,4.429046,-0.45189947
764,1,22.076653,100.479416,4.442252,0.0057526776,4.4324756,-0.44206804
765,1,21.582098,100.52765,4.4451714,0.0038004995,4.435826,-0.43224382
766,1,21.087437,100.574776,4.4480085,0.0019062697,4.4390984,-0.42241952
767,1,20.592672,100.620804,4.4507866,4.7339872e-05,4.442294,-0.4125623
768,1,20.097805,100.665726,4.4535127,-0.0017627559,4.445419,-0.40271193
769,1,19.60284,100.70954,4.456161,-0.0035226918,4.4484653,-0.392869
770,1,19.107779,100.75226,4.458723,-0.0052365833,4.4514294,-0.3829952
771,1,18.612623,100.79387,4.4612575,-0.0069240793,4.454324,-0.3731216
772,1,18.117374,100.83438,4.463714,-0.008558567,4.4571404,-0.36325845
773,1,17.62204,100.873795,4.466073,-0.010143189,4.4598722,-0.35337925
774,1,17.126617,100.9121,4.468412,-0.011692757,4.46254,-0.34347886
775,1,16.631111,100.94931,4.470657,-0.013179676,4.465128,-0.3335985
776,1,16.135525,100.98542,4.4728184,-0.01463537,4.46763,-0.32369184
777,1,15.639857,101.02043,4.4749603,-0.016046386,4.470072,-0.31378236
778,1,15.1441145,101.054344,4.476995,-0.017416945,4.472422,-0.3038884
779,1,14.648298,101.08716,4.4789815,-0.01874326,4.4747024,-0.2939606
780,1,14.15241,101.11887,4.480908,-0.020015568,4.476912,-0.28405496
781,1,13.656454,101.14949,4.482743,-0.021241957,4.479038,-0.27413738
782,1,13.160429,101.179016,4.4845285,-0.022427823,4.481093,-0.26418784
783,1,12.664343,101.207436,4.486248,-0.023573747,4.4830704,-0.25426927
784,1,12.168193,101.234764,4.4879093,-0.024689652,4.4849696,-0.24433699
785,1,11.671985,101.261,4.489495,-0.025737265,4.4867983,-0.23439783
786,1,11.175719,101.28613,4.4910045,-0.026744435,4.488547,-0.22446388
787,1,10.6794,101.31018,4.49247,-0.027714156,4.490225,-0.21450196
788,1,10.183029,101.33312,4.493872,-0.02863322,4.491831,-0.20456791
789,1,9.686608,101.35498,4.4951787,-0.029513722,4.493349,-0.19460659
790,1,9.190142,101.37574,4.496448,-0.030345876,4.4948034,-0.18464541
791,1,8.693628,101.3954,4.497654,-0.031151364,4.4961767,-0.17469653
792,1,8.197075,101.41397,4.4987726,-0.03188494,4.4974766,-0.16474251
793,1,7.7004814,101.43144,4.499831,-0.032590162,4.4986987,-0.15477592
794,1,7.2038503,101.44783,4.5008373,-0.033245645,4.4998527,-0.14480135
795,1,6.7071834,101.46312,4.501774,-0.033870056,4.500925,-0.1348509
796,1,6.210486,101.47732,4.5026455,-0.03444267,4.501925,-0.12487714
797,1,5.713758,101.49042,4.503453,-0.0349639,4.502853,-0.114921436
798,1,5.2170005,101.50243,4.5041895,-0.03544529,4.5037036,-0.10494419
799,1,4.72022,101.51335,4.5048647,-0.035877433,4.504483,-0.094969556
800,1,4.223416,101.52318,4.5054874,-0.03628665,4.5051856,-0.08500476
801,1,3.726591,101.53191,4.506041,-0.036632612,4.505818,-0.075048655
802,1,3.229749,101.53955,4.506515,-0.036944147,4.506369,-0.065088004
803,1,2.7328913,101.546104,4.506954,-0.037198383,4.506862,-0.05513725
804,1,2.2360198,101.55157,4.507322,-0.0374281,4.5072722,-0.04520703
805,1,1.7391374,101.55593,4.50763,-0.03759927,4.507617,-0.035271194
806,1,1.2422473,101.559204,4.5079427,-0.03776609,4.5078864,-0.025441611
807,1,0.74535084,101.561386,4.508323,-0.03775772,4.508083,-0.015758762
808,1,0.24845012,101.56248,4.508027,-0.037467286,4.5080085,-0.0068535083
