a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
155.32;155.32;465.97;1.966;0.9;0.65;1;1;3;60449600;760.0773315;0.6527349248
154.41;154.41;463.24;1.955;0.9;0.6;1;1;3;60449600;851.5791626;0.6643383261
158.71;158.71;476.14;2.009;0.85;1;1;1;3;60449600;70.85572815;0.6117947552
157.93;157.93;473.78;1.999;0.85;0.95;1;1;3;60449600;186.2565918;0.6209315566
157.13;157.13;471.39;1.989;0.85;0.9;1;1;3;60449600;303.8108826;0.6304496022
156.33;156.33;468.98;1.979;0.85;0.85;1;1;3;60449600;420.1524048;0.6401903636
155.51;155.51;466.53;1.969;0.85;0.8;1;1;3;60449600;533.6345825;0.6503534966
154.68;154.68;464.05;1.958;0.85;0.75;1;1;3;60449600;646.9306641;0.660869659
153.84;153.84;461.53;1.948;0.85;0.7;1;1;3;60449600;759.1800537;0.6717478985
152.99;152.99;458.98;1.937;0.85;0.65;1;1;3;60449600;871.7930908;0.6830091084
152.13;152.13;456.4;1.926;0.85;0.6;1;1;3;60449600;984.7830811;0.6946590771
156.18;156.18;468.54;1.977;0.8;1;1;1;3;60449600;71.2780838;0.6420240371
155.44;155.44;466.32;1.968;0.8;0.95;1;1;3;60449600;200.3179932;0.6512336211
154.69;154.69;464.08;1.958;0.8;0.9;1;1;3;60449600;332.0745239;0.6607427489
153.94;153.94;461.81;1.949;0.8;0.85;1;1;3;60449600;463.1496277;0.6704712367
153.17;153.17;459.5;1.939;0.8;0.8;1;1;3;60449600;592.4876099;0.6806363685
152.39;152.39;457.17;1.929;0.8;0.75;1;1;3;60449600;722.4871216;0.6911276957
151.6;151.6;454.8;1.919;0.8;0.7;1;1;3;60449600;853.0565186;0.7019886652
150.8;150.8;452.4;1.909;0.8;0.65;1;1;3;60449600;984.717041;0.7132188907
149.99;149.99;449.96;1.899;0.8;0.6;1;1;3;60449600;1117.958374;0.7248495305
153.78;153.78;461.35;1.947;0.75;1;1;1;3;60449600;86.95101929;0.6725369066
153.09;153.09;459.28;1.938;0.75;0.95;1;1;3;60449600;215.1871796;0.6816742793
152.39;152.39;457.18;1.929;0.75;0.9;1;1;3;60449600;361.401123;0.691112642
151.68;151.68;455.05;1.92;0.75;0.85;1;1;3;60449600;507.7269287;0.7008633068
150.96;150.96;452.88;1.911;0.75;0.8;1;1;3;60449600;652.6397095;0.7109537834
